year	popSize
2000	39342
2037	39234
2074	39126
2111	39019
2148	38912
2185	38805
2222	38698
2259	38592
2295	38486
2332	38380
2369	38275
2406	38170
2443	38065
2480	37961
2517	37857
2554	37753
2591	37649
2628	37546
2665	37443
2702	37340
2739	37237
2776	37135
2812	37033
2849	36931
2886	36830
2923	36729
2960	36628
2997	36528
3034	36427
3071	36327
3108	36228
3145	36128
3182	36029
3219	35930
3256	35831
3293	35733
3330	35635
3366	35537
3403	35440
3440	35342
3477	35245
3514	35149
3551	35052
3588	34956
3625	34860
3662	34764
3699	34669
3736	34574
3773	34479
3810	34384
3847	34290
3884	34195
3920	34102
3957	34008
3994	33915
4031	33821
4068	33729
4105	33636
4142	33544
4179	33452
4216	33360
4253	33268
4290	33177
4327	33086
4364	32995
4401	32904
4437	32814
4474	32724
4511	32634
4548	32545
4585	32455
4622	32366
4659	32277
4696	32189
4733	32100
4770	32012
4807	31924
4844	31837
4881	31749
4918	31662
4955	31575
4991	31489
5028	31402
5065	31316
5102	31230
5139	31144
5176	31059
5213	30973
5250	30888
5287	30804
5324	30719
5361	30635
5398	30551
5435	30467
5472	30383
5508	30300
5545	30217
5582	30134
5619	30051
5656	29968
5693	29886
1023739	29886
1023739	1191
1119610	1191
1119610	26718
1804295	26718
1804295	4342
2059957	4342
2059957	211591
4000000	211591

