dataset	level	younger_year	older_year	Ne	note
Elife	11	0.0	190530.0	32800.0	rounded time boundaries; size assigned to interval ending at T
Elife	6	190530.0	696000.0	43500.0	rounded time boundaries; size assigned to interval ending at T
Elife	3	696000.0	745300.0	1440.0	rounded time boundaries; size assigned to interval ending at T
Elife	2	745300.0	2595500.0	31900.0	rounded time boundaries; size assigned to interval ending at T
Science	16	0.0	200100.0	27800.0	rounded time boundaries; size assigned to interval ending at T
Science	5	200100.0	771400.0	26900.0	rounded time boundaries; size assigned to interval ending at T
Science	3	771400.0	771400.0	1.0	same rounded endpoints; duration unresolved
Science	2	771400.0	2473700.0	29400.0	rounded time boundaries; size assigned to interval ending at T
MBE	216	0.0	1244.1	498000.0	rounded time boundaries; size assigned to interval ending at T
MBE	29	1244.1	106430.0	29200.0	rounded time boundaries; size assigned to interval ending at T
MBE	10	106430.0	385700.0	31900.0	rounded time boundaries; size assigned to interval ending at T
MBE	6	385700.0	574200.0	18200.0	rounded time boundaries; size assigned to interval ending at T
MBE	5	574200.0	988900.0	71600.0	rounded time boundaries; size assigned to interval ending at T
MBE	3	988900.0	988900.0	33.8	same rounded endpoints; duration unresolved
MBE	2	988900.0	2534600.0	26700.0	rounded time boundaries; size assigned to interval ending at T
